h_det_time_lo,h_det_time_hi,h_visit_char_revi_mean,h_visit_char_revi_std,h_visit_char_revi_sem,h_visit_char_revi_nEns,h_visit_char_uniq_mean,h_visit_char_uniq_std,h_visit_char_uniq_sem,h_visit_char_uniq_nEns,h_visit_char_visit_mean,h_visit_char_visit_std,h_visit_char_visit_sem,h_visit_char_visit_nEns,h_visit_det_revi_mean,h_visit_det_revi_std,h_visit_det_revi_sem,h_visit_det_revi_nEns,h_visit_det_uniq_mean,h_visit_det_uniq_std,h_visit_det_uniq_sem,h_visit_det_uniq_nEns,h_visit_det_visit_mean,h_visit_det_visit_std,h_visit_det_visit_sem,h_visit_det_visit_nEns
0.0,30.5,0.0,0.0,0.0,100,0.02,0.1407052941362896,0.01407052941362896,100,0.02,0.1407052941362896,0.01407052941362896,100,1.24,0.4292346959909283,0.04292346959909283,100,26.61,0.5842201051942079,0.05842201051942079,100,27.85,0.5924610544247626,0.05924610544247626,100
30.5,61.0,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,2.77,0.9412542674323424,0.09412542674323424,100,10.77,0.6794977348874478,0.06794977348874479,100,13.54,1.1048104184003982,0.11048104184003982,100
61.0,91.5,0.0,0.0,0.0,100,0.07,0.2564323999762428,0.02564323999762428,100,0.07,0.2564323999762428,0.02564323999762428,100,8.81,1.2447465362048373,0.12447465362048374,100,6.63,0.9811866655877832,0.09811866655877832,100,15.44,0.9354953314429286,0.09354953314429286,100
91.5,122.0,0.0,0.0,0.0,100,0.23,0.46828722947879886,0.04682872294787989,100,0.23,0.46828722947879886,0.04682872294787989,100,7.63,1.3307171302752812,0.13307171302752813,100,5.16,0.8130252769810419,0.08130252769810419,100,12.79,1.0852081678999508,0.10852081678999508,100
122.0,152.5,0.0,0.0,0.0,100,0.52,0.6110100926607787,0.061101009266077866,100,0.52,0.6110100926607787,0.061101009266077866,100,15.06,2.444618910211082,0.24446189102110819,100,1.85,0.6723244767373876,0.06723244767373876,100,16.91,2.243261514452167,0.2243261514452167,100
152.5,183.0,0.0,0.0,0.0,100,0.28,0.4731156136066359,0.04731156136066359,100,0.28,0.4731156136066359,0.04731156136066359,100,12.89,2.21972334248476,0.221972334248476,100,0.08,0.2726599243442909,0.027265992434429093,100,12.97,2.199426004091692,0.21994260040916921,100
183.0,213.5,0.0,0.0,0.0,100,0.2,0.4494665749754943,0.04494665749754943,100,0.2,0.4494665749754943,0.04494665749754943,100,8.16,2.277336739760422,0.2277336739760422,100,1.86,1.3334848398770105,0.13334848398770105,100,10.02,2.5064764595791127,0.2506476459579113,100
213.5,244.0,0.0,0.0,0.0,100,0.36,0.5416025603090642,0.05416025603090642,100,0.36,0.5416025603090642,0.05416025603090642,100,9.13,2.827194776280951,0.28271947762809513,100,0.64,0.8821461433242327,0.08821461433242327,100,9.77,2.8027944208693865,0.28027944208693867,100
244.0,274.5,0.0,0.0,0.0,100,0.36,0.559942276967326,0.0559942276967326,100,0.36,0.559942276967326,0.0559942276967326,100,9.48,3.223900642627709,0.3223900642627709,100,0.97,1.0195562512656915,0.10195562512656915,100,10.45,3.331438855582502,0.3331438855582502,100
274.5,305.0,0.0,0.0,0.0,100,0.34,0.5359782899266793,0.05359782899266793,100,0.34,0.5359782899266793,0.05359782899266793,100,9.17,3.330468465849842,0.3330468465849842,100,0.28,0.6678776879493777,0.06678776879493778,100,9.45,3.2640527575455036,0.32640527575455036,100
305.0,335.5,0.0,0.0,0.0,100,0.21,0.4333333333333335,0.04333333333333335,100,0.21,0.4333333333333335,0.04333333333333335,100,5.34,2.6863666273548095,0.2686366627354809,100,2.05,1.7371461561068389,0.17371461561068388,100,7.39,2.685144316419511,0.2685144316419511,100
335.5,366.0,0.0,0.0,0.0,100,0.45,0.5751591786697668,0.057515917866976685,100,0.45,0.5751591786697668,0.057515917866976685,100,5.2,2.860387767736777,0.2860387767736777,100,1.36,1.2187093686570742,0.12187093686570742,100,6.56,3.0461766066976352,0.30461766066976353,100
366.0,396.5,0.0,0.0,0.0,100,0.31,0.5448565745851716,0.054485657458517155,100,0.31,0.5448565745851716,0.054485657458517155,100,4.55,3.0727706051573707,0.30727706051573705,100,1.64,1.935943901015416,0.1935943901015416,100,6.19,3.7408339155646018,0.3740833915564602,100
396.5,427.0,0.0,0.0,0.0,100,0.27,0.4682872294787993,0.04682872294787993,100,0.27,0.4682872294787993,0.04682872294787993,100,3.66,2.458627357866272,0.2458627357866272,100,0.97,1.2346430392398584,0.12346430392398584,100,4.63,2.676704592357452,0.2676704592357452,100
427.0,457.5,0.0,0.0,0.0,100,0.31,0.5064233865696235,0.05064233865696235,100,0.31,0.5064233865696235,0.05064233865696235,100,3.57,2.4751492149693997,0.24751492149693996,100,0.77,1.17081513519773,0.117081513519773,100,4.34,2.6139485979504786,0.26139485979504784,100
457.5,488.0,0.0,0.0,0.0,100,0.22,0.4399265319747763,0.04399265319747763,100,0.22,0.4399265319747763,0.04399265319747763,100,4.15,2.7829749360979683,0.27829749360979683,100,0.49,0.9265445744727273,0.09265445744727273,100,4.64,2.949131013938467,0.29491310139384674,100
488.0,518.5,0.0,0.0,0.0,100,0.23,0.42295258468165053,0.04229525846816505,100,0.23,0.42295258468165053,0.04229525846816505,100,2.81,2.1258153515982774,0.21258153515982775,100,0.93,1.3651876697866034,0.13651876697866033,100,3.74,2.505025252397971,0.2505025252397971,100
518.5,549.0,0.0,0.0,0.0,100,0.38,0.5646130345536481,0.056461303455364806,100,0.38,0.5646130345536481,0.056461303455364806,100,2.41,1.7120783046379975,0.17120783046379975,100,1.25,1.5529379129946443,0.15529379129946444,100,3.66,2.27067381980759,0.22706738198075901,100
549.0,579.5,0.0,0.0,0.0,100,0.33,0.5135536717202722,0.051355367172027225,100,0.33,0.5135536717202722,0.051355367172027225,100,2.86,2.6362661075655844,0.26362661075655847,100,1.58,1.9907868603224002,0.19907868603224002,100,4.44,3.5142423066571538,0.3514242306657154,100
579.5,610.0,0.0,0.0,0.0,100,0.33,0.5135536717202723,0.05135536717202723,100,0.33,0.5135536717202723,0.05135536717202723,100,3.4,2.9576130151652262,0.29576130151652263,100,0.43,0.9129262530097065,0.09129262530097065,100,3.83,3.175203803209991,0.3175203803209991,100
610.0,640.5,0.0,0.0,0.0,100,0.25,0.4793724854411023,0.04793724854411023,100,0.25,0.4793724854411023,0.04793724854411023,100,3.91,3.1272507046440916,0.31272507046440917,100,0.27,0.694203998777874,0.06942039987778739,100,4.18,3.157098783261736,0.3157098783261736,100
640.5,671.0,0.0,0.0,0.0,100,0.19,0.39427724440366235,0.039427724440366234,100,0.19,0.39427724440366235,0.039427724440366234,100,3.3,2.4924127290882643,0.24924127290882642,100,0.54,0.9579017473497784,0.09579017473497783,100,3.84,2.5573028721287554,0.25573028721287555,100
671.0,701.5,0.0,0.0,0.0,100,0.26,0.4408440022768078,0.04408440022768078,100,0.26,0.4408440022768078,0.04408440022768078,100,2.69,1.9263982197380944,0.19263982197380944,100,0.6,1.0444659357341866,0.10444659357341865,100,3.29,2.099999999999999,0.2099999999999999,100
701.5,732.0,0.0,0.0,0.0,100,0.3,0.4605661864718381,0.046056618647183814,100,0.3,0.4605661864718381,0.046056618647183814,100,2.65,1.9141947168826412,0.19141947168826412,100,0.89,1.3018634662853423,0.13018634662853423,100,3.54,2.3502417670606497,0.23502417670606496,100
732.0,762.5,0.0,0.0,0.0,100,0.26,0.4631905164675271,0.046319051646752714,100,0.26,0.4631905164675271,0.046319051646752714,100,2.31,2.25493846362766,0.22549384636276598,100,1.44,1.7827455842553135,0.17827455842553136,100,3.75,2.7205725778804637,0.27205725778804635,100
762.5,793.0,0.0,0.0,0.0,100,0.18,0.41145221993924086,0.041145221993924085,100,0.18,0.41145221993924086,0.041145221993924085,100,2.54,2.076418828539934,0.20764188285399338,100,0.69,1.1073218214058718,0.11073218214058718,100,3.23,2.304387558593828,0.23043875585938278,100
793.0,823.5,0.0,0.0,0.0,100,0.22,0.41633319989322687,0.04163331998932269,100,0.22,0.41633319989322687,0.04163331998932269,100,2.2,1.8257418583505534,0.18257418583505533,100,0.64,1.0685589276301897,0.10685589276301896,100,2.84,2.0632425201535796,0.20632425201535795,100
823.5,854.0,0.0,0.0,0.0,100,0.19,0.39427724440366235,0.039427724440366234,100,0.19,0.39427724440366235,0.039427724440366234,100,2.01,1.8667478337331675,0.18667478337331675,100,0.54,1.0388416237290072,0.10388416237290073,100,2.55,2.1806078292646993,0.21806078292646994,100
854.0,884.5,0.0,0.0,0.0,100,0.11,0.31446603773522036,0.031446603773522035,100,0.11,0.31446603773522036,0.031446603773522035,100,2.11,1.7689522094143524,0.17689522094143523,100,0.74,1.2277926321145387,0.12277926321145387,100,2.85,2.1432298858112127,0.21432298858112125,100
884.5,915.0,0.0,0.0,0.0,100,0.16,0.3684529491774709,0.03684529491774709,100,0.16,0.3684529491774709,0.03684529491774709,100,2.52,1.8503616900050601,0.185036169000506,100,1.11,1.3918594495396184,0.13918594495396183,100,3.63,2.2502749551415646,0.22502749551415646,100
915.0,945.5,0.0,0.0,0.0,100,0.22,0.41633319989322687,0.04163331998932269,100,0.22,0.41633319989322687,0.04163331998932269,100,1.84,1.6740442773189255,0.16740442773189254,100,2.05,2.152635218479522,0.21526352184795222,100,3.89,2.6396165929118856,0.26396165929118853,100
945.5,976.0,0.0,0.0,0.0,100,0.21,0.4093601807403326,0.040936018074033256,100,0.21,0.4093601807403326,0.040936018074033256,100,2.62,2.013991463775757,0.20139914637757572,100,0.46,0.9991915924305205,0.09991915924305204,100,3.08,2.082539242600172,0.2082539242600172,100
976.0,1006.5,0.0,0.0,0.0,100,0.16,0.3684529491774709,0.03684529491774709,100,0.16,0.3684529491774709,0.03684529491774709,100,2.27,1.7801089513813133,0.17801089513813134,100,0.65,1.07661084384791,0.10766108438479101,100,2.92,1.9367785395111945,0.19367785395111944,100
1006.5,1037.0,0.0,0.0,0.0,100,0.1,0.30151134457776346,0.030151134457776348,100,0.1,0.30151134457776346,0.030151134457776348,100,2.61,1.7916472867168904,0.17916472867168903,100,0.92,1.3830138367808447,0.13830138367808448,100,3.53,1.935604726323444,0.19356047263234438,100
1037.0,1067.5,0.0,0.0,0.0,100,0.14,0.37658754867650895,0.0376587548676509,100,0.14,0.37658754867650895,0.0376587548676509,100,2.56,1.552580126919397,0.1552580126919397,100,0.76,1.0742157110838557,0.10742157110838557,100,3.32,1.7802508051656452,0.17802508051656452,100
1067.5,1098.0,0.0,0.0,0.0,100,0.14,0.34873508801977704,0.034873508801977704,100,0.14,0.34873508801977704,0.034873508801977704,100,2.45,1.6659089186544755,0.16659089186544757,100,1.28,1.608562944828317,0.1608562944828317,100,3.73,2.044233080861595,0.2044233080861595,100
1098.0,1128.5,0.0,0.0,0.0,100,0.15,0.35887028128263726,0.03588702812826373,100,0.15,0.35887028128263726,0.03588702812826373,100,1.57,1.3046536751648743,0.13046536751648743,100,1.9,1.78376517003169,0.178376517003169,100,3.47,2.1103640358090723,0.21103640358090722,100
1128.5,1159.0,0.0,0.0,0.0,100,0.19,0.39427724440366235,0.039427724440366234,100,0.19,0.39427724440366235,0.039427724440366234,100,2.22,1.50137983673067,0.15013798367306702,100,0.35,0.757121075675696,0.0757121075675696,100,2.57,1.552157182501798,0.1552157182501798,100
1159.0,1189.5,0.0,0.0,0.0,100,0.14,0.348735088019777,0.0348735088019777,100,0.14,0.348735088019777,0.0348735088019777,100,1.92,1.5549205052920805,0.15549205052920806,100,0.53,0.9369518599580174,0.09369518599580175,100,2.45,1.7313216764872856,0.17313216764872857,100
1189.5,1220.0,0.0,0.0,0.0,100,0.08,0.27265992434429087,0.027265992434429086,100,0.08,0.27265992434429087,0.027265992434429086,100,1.9,1.466804401246176,0.14668044012461762,100,0.71,1.0852081678999508,0.10852081678999508,100,2.61,1.6750998764132226,0.16750998764132224,100
1220.0,1250.5,0.0,0.0,0.0,100,0.11,0.3450955072018603,0.03450955072018603,100,0.11,0.3450955072018603,0.03450955072018603,100,2.54,1.598104938337716,0.1598104938337716,100,0.84,1.0514059850764337,0.10514059850764337,100,3.38,1.8134180015883954,0.18134180015883955,100
1250.5,1281.0,0.0,0.0,0.0,100,0.1,0.30151134457776346,0.030151134457776348,100,0.1,0.30151134457776346,0.030151134457776348,100,2.29,1.7014254273545124,0.17014254273545124,100,1.6,1.8090680674665827,0.18090680674665827,100,3.89,1.963788340546059,0.1963788340546059,100
1281.0,1311.5,0.0,0.0,0.0,100,0.1,0.30151134457776335,0.030151134457776334,100,0.1,0.30151134457776335,0.030151134457776334,100,2.12,1.6713872542099137,0.16713872542099137,100,1.33,1.5638272140986542,0.15638272140986542,100,3.45,2.0018930434905244,0.20018930434905244,100
1311.5,1342.0,0.0,0.0,0.0,100,0.15,0.3588702812826369,0.03588702812826369,100,0.15,0.3588702812826369,0.03588702812826369,100,1.72,1.2639524348549505,0.12639524348549505,100,0.52,1.0098504739801724,0.10098504739801724,100,2.24,1.4982818442631158,0.14982818442631157,100
1342.0,1372.5,0.0,0.0,0.0,100,0.15,0.35887028128263704,0.03588702812826371,100,0.15,0.35887028128263704,0.03588702812826371,100,1.8,1.5699192541804385,0.15699192541804385,100,0.57,0.9666666666666665,0.09666666666666665,100,2.37,1.79592692929126,0.179592692929126,100
1372.5,1403.0,0.0,0.0,0.0,100,0.09,0.2876234912646614,0.028762349126466143,100,0.09,0.2876234912646614,0.028762349126466143,100,2.24,1.4915248789901103,0.14915248789901103,100,0.65,1.1043989178267832,0.11043989178267832,100,2.89,1.7167916988888716,0.17167916988888715,100
1403.0,1433.5,0.0,0.0,0.0,100,0.09,0.2876234912646614,0.028762349126466143,100,0.09,0.2876234912646614,0.028762349126466143,100,2.24,1.6025232628828845,0.16025232628828845,100,0.74,1.0974718422102887,0.10974718422102887,100,2.98,1.769437506923907,0.1769437506923907,100
1433.5,1464.0,0.0,0.0,0.0,100,0.09,0.28762349126466114,0.028762349126466115,100,0.09,0.28762349126466114,0.028762349126466115,100,2.51,1.5731009073312698,0.157310090733127,100,0.76,1.1111919162536572,0.11111919162536572,100,3.27,1.7744255009962695,0.17744255009962695,100
1464.0,1494.5,0.0,0.0,0.0,100,0.12,0.32659863237109066,0.032659863237109066,100,0.12,0.32659863237109066,0.032659863237109066,100,1.96,1.6262990145875653,0.16262990145875653,100,1.2,1.3853490243227218,0.13853490243227218,100,3.16,1.767952648024422,0.1767952648024422,100
1494.5,1525.0,0.0,0.0,0.0,100,0.12,0.3265986323710906,0.03265986323710906,100,0.12,0.3265986323710906,0.03265986323710906,100,1.67,1.2395421116140615,0.12395421116140615,100,0.55,1.0087996667707455,0.10087996667707455,100,2.22,1.4742229591663982,0.14742229591663983,100
1525.0,1555.5,0.0,0.0,0.0,100,0.09,0.2876234912646614,0.028762349126466143,100,0.09,0.2876234912646614,0.028762349126466143,100,2.12,1.6592562530035295,0.16592562530035296,100,0.61,1.0337242662266668,0.10337242662266669,100,2.73,1.7801089513813138,0.17801089513813137,100
1555.5,1586.0,0.0,0.0,0.0,100,0.1,0.3015113445777634,0.03015113445777634,100,0.1,0.3015113445777634,0.03015113445777634,100,2.34,1.6950313605155833,0.16950313605155834,100,0.75,1.0087996667707457,0.10087996667707458,100,3.09,1.853715896857614,0.1853715896857614,100
1586.0,1616.5,0.0,0.0,0.0,100,0.05,0.21904291355759078,0.021904291355759078,100,0.05,0.21904291355759078,0.021904291355759078,100,2.55,1.6476184220402688,0.16476184220402687,100,1.05,1.2339883600452934,0.12339883600452935,100,3.6,1.7922391615298483,0.17922391615298483,100
1616.5,1647.0,0.0,0.0,0.0,100,0.09,0.28762349126466147,0.028762349126466146,100,0.09,0.28762349126466147,0.028762349126466146,100,2.09,1.4981132915582303,0.14981132915582301,100,1.44,1.5590725033516148,0.15590725033516148,100,3.53,1.7891649200426176,0.17891649200426177,100
1647.0,1677.5,0.0,0.0,0.0,100,0.1,0.30151134457776346,0.030151134457776348,100,0.1,0.30151134457776346,0.030151134457776348,100,2.33,1.5702730895476675,0.15702730895476674,100,0.97,1.1499231419200298,0.11499231419200298,100,3.3,1.726209135591044,0.17262091355910442,100
1677.5,1708.0,0.0,0.0,0.0,100,0.12,0.3265986323710906,0.03265986323710906,100,0.12,0.3265986323710906,0.03265986323710906,100,1.72,1.326345324262094,0.1326345324262094,100,0.8,1.2870763988845633,0.12870763988845632,100,2.52,1.4388547634500957,0.14388547634500956,100
1708.0,1738.5,0.0,0.0,0.0,100,0.02,0.14070529413628963,0.014070529413628963,100,0.02,0.14070529413628963,0.014070529413628963,100,2.25,1.328590047814417,0.1328590047814417,100,0.9,1.159066151448805,0.1159066151448805,100,3.15,1.578741347537412,0.15787413475374118,100
1738.5,1769.0,0.0,0.0,0.0,100,0.1,0.3015113445777634,0.03015113445777634,100,0.1,0.3015113445777634,0.03015113445777634,100,1.93,1.3276773978370178,0.13276773978370177,100,1.09,1.272038052921692,0.12720380529216918,100,3.02,1.5174406949288872,0.1517440694928887,100
1769.0,1799.5,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,2.39,1.4276844288157051,0.1427684428815705,100,0.93,1.0075974023649152,0.10075974023649152,100,3.32,1.28613429086601,0.128613429086601,100
